46,Home Alone 2,11/20/1992,120,PG,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",Standard
47,Elf,11/07/2003,97,PG,"Buddy, a human, is raised amongst elves at the North Pole. When he discovers that he is not an elf, he travels to New York to search for his biological father.",Standard
48,21,03/28/2008,123,PG-13,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",Standard
49,Cedar Rapids,02/11/2011,87,R,"Tim Lippe has no idea what he's in for when he's sent to Cedar Rapids, Iowa to represent his company at an annual insurance convention, where he soon finds himself under the ""guidance"" of three convention veterans.",Standard
50,Disturbia,04/13/2007,105,PG-13,A teen living under house arrest becomes convinced his neighbor is a serial killer.,Standard
51,Transformers,07/27/2007,144,PG-13,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",Standard
52,Wayne’s World,02/14/1992,94,PG-13,Two slacker friends try to promote their public-access cable show.,Standard
53,Wayne’s World 2,12/10/1993,95,PG-13,The inseparable duo try to organize a rock concert while Wayne must fend off a record producer who has an eye for his girlfriend.,Standard
54,Ted,06/29/2012,106,R,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori.",Standard
55,A Million Ways to Die in the West,05/30/2014,116,R,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his newly found courage to the test when her husband, a notorious gun-slinger, announces his arrival.",Standard
56,Ted 2,06/26/2015,115,R,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Standard
57,Dodgeball: A True Underdog Story,06/18/2004,92,PG-13,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,Standard
58,American Pie,07/09/1999,95,R,Four teenage boys enter a pact to lose their virginity by prom night.,Standard
59,Dinner for Schmucks,07/30/2010,114,PG-13,"When he finds out that his work superiors host a dinner celebrating the idiocy of their guests, a rising executive questions it when he's invited, just as he befriends a man who would be the perfect guest.",Standard
60,Four Christmases,11/26/2008,88,PG-13,A couple struggles to visit all four of their divorced parents on Christmas.,Standard
61,Hot Rod,08/03/2007,88,PG-13,Self-proclaimed stuntman Rod Kimble is preparing for the jump of his life - to clear fifteen buses to raise money for his abusive stepfather Frank's life-saving heart operation.,Standard
